index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
84,Several men at a bar watch a sports game on the television.,several men at a bar watch a sports game on the television.,several men bar watch sports game television.,several men bar watch sports game television,"['several', 'men', 'bar', 'watch', 'sport', 'game', 'television']",several men bar watch sport game television,Several men at a bar watch a sports game on the television,contradiction
85,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background","two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background","two roadside workers lime green safety jackets, white hard hats gloves construction cones background",two roadside workers lime green safety jackets white hard hats gloves construction cones background,"['two', 'roadside', 'worker', 'lime', 'green', 'safety', 'jacket', 'white', 'hard', 'hat', 'glove', 'construction', 'cone', 'background']",two roadside worker lime green safety jacket white hard hat glove construction cone background,Two roadside workers with lime green safety jackets white hard hats and gloves on with construction cones in the background,contradiction
86,Children in yellow sports uniforms climbing a tower.,children in yellow sports uniforms climbing a tower.,children yellow sports uniforms climbing tower.,children yellow sports uniforms climbing tower,"['child', 'yellow', 'sport', 'uniform', 'climbing', 'tower']",child yellow sport uniform climbing tower,Children in yellow sports uniforms climbing a tower,neutral
87,A crowded city street with lots of pedestrians.,a crowded city street with lots of pedestrians.,crowded city street lots pedestrians.,crowded city street lots pedestrians,"['crowded', 'city', 'street', 'lot', 'pedestrian']",crowded city street lot pedestrian,A crowded city street with lots of pedestrians,neutral
88,A group of people are in a rowboat in the ocean surrounded by seagulls.,a group of people are in a rowboat in the ocean surrounded by seagulls.,group people rowboat ocean surrounded seagulls.,group people rowboat ocean surrounded seagulls,"['group', 'people', 'rowboat', 'ocean', 'surrounded', 'seagull']",group people rowboat ocean surrounded seagull,A group of people are in a rowboat in the ocean surrounded by seagulls,neutral
89,Men sitting on the side of a brick road.,men sitting on the side of a brick road.,men sitting side brick road.,men sitting side brick road,"['men', 'sitting', 'side', 'brick', 'road']",men sitting side brick road,Men sitting on the side of a brick road,neutral
90,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,a young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,young girl yellow top flowered skirt standing blanket biting toy.,young girl yellow top flowered skirt standing blanket biting toy,"['young', 'girl', 'yellow', 'top', 'flowered', 'skirt', 'standing', 'blanket', 'biting', 'toy']",young girl yellow top flowered skirt standing blanket biting toy,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy,neutral
91,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,climber wearing red headband pulling gray rocks high green foliage.,climber wearing red headband pulling gray rocks high green foliage,"['climber', 'wearing', 'red', 'headband', 'pulling', 'gray', 'rock', 'high', 'green', 'foliage']",climber wearing red headband pulling gray rock high green foliage,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage,contradiction
92,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,climber wearing red headband pulling gray rocks high green foliage.,climber wearing red headband pulling gray rocks high green foliage,"['climber', 'wearing', 'red', 'headband', 'pulling', 'gray', 'rock', 'high', 'green', 'foliage']",climber wearing red headband pulling gray rock high green foliage,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage,neutral
93,a man with a red headband climbing a rock cliff looming over greenery.,a man with a red headband climbing a rock cliff looming over greenery.,man red headband climbing rock cliff looming greenery.,man red headband climbing rock cliff looming greenery,"['man', 'red', 'headband', 'climbing', 'rock', 'cliff', 'looming', 'greenery']",man red headband climbing rock cliff looming greenery,a man with a red headband climbing a rock cliff looming over greenery,neutral
94,A homeless man pushes an overfilled plastic blue shopping cart.,a homeless man pushes an overfilled plastic blue shopping cart.,homeless man pushes overfilled plastic blue shopping cart.,homeless man pushes overfilled plastic blue shopping cart,"['homeless', 'man', 'push', 'overfilled', 'plastic', 'blue', 'shopping', 'cart']",homeless man push overfilled plastic blue shopping cart,A homeless man pushes an overfilled plastic blue shopping cart,neutral
95,an old shoemaker in his factory,an old shoemaker in his factory,old shoemaker factory,old shoemaker factory,"['old', 'shoemaker', 'factory']",old shoemaker factory,an old shoemaker in his factory,contradiction
96,an old shoemaker in his factory,an old shoemaker in his factory,old shoemaker factory,old shoemaker factory,"['old', 'shoemaker', 'factory']",old shoemaker factory,an old shoemaker in his factory,neutral
97,A young man waring black and carrying a skateboard looks at an outdoor skateboard park.,a young man waring black and carrying a skateboard looks at an outdoor skateboard park.,young man waring black carrying skateboard looks outdoor skateboard park.,young man waring black carrying skateboard looks outdoor skateboard park,"['young', 'man', 'waring', 'black', 'carrying', 'skateboard', 'look', 'outdoor', 'skateboard', 'park']",young man waring black carrying skateboard look outdoor skateboard park,A young man waring black and carrying a skateboard looks at an outdoor skateboard park,entailment
98,Four young girls playing in the water.,four young girls playing in the water.,four young girls playing water.,four young girls playing water,"['four', 'young', 'girl', 'playing', 'water']",four young girl playing water,Four young girls playing in the water,contradiction
99,Four young girls playing in the water.,four young girls playing in the water.,four young girls playing water.,four young girls playing water,"['four', 'young', 'girl', 'playing', 'water']",four young girl playing water,Four young girls playing in the water,neutral
